ano,sigla_uf,id_municipio,area_total,area_proprietario,area_arrendatario,area_parceiro,area_ocupante,area_lavoura_permanente,area_lavoura_temporaria,area_pastagem_natural,area_pastagem_plantada,area_pastagem,area_mata_natural,area_mata_plantada,area_sistema_agroflorestal,area_mata,area_nao_utilizada,quantidade_estabelecimentos,producao_cafe,area_cafe,quantidade_estabelecimentos_cafe,valor_total_producao_cafe,quantidade_bovinos_total,quantidade_bezerros,quantidade_bovinos_garrote,quantidade_bovinos_vaca,quantidade_bovinos_trabalho,quantidade_bovinos_touro,quantidade_estabelecimentos_energia_eletrica,despesa_total,despesa_adubos,despesa_sementes,despesa_arrendamentos,despesa_salarios,despesa_defensivos,despesa_cotas,areas_irrigacao,producao_leite,numero_estabelecimentos_total,numero_estabelecimentos_proprietario,numero_estabelecimentos_arrendatario,numero_estabelecimentos_parceiros,numero_estabelecimentos_ocupantes,numero_estabelecimentos_outros,numero_estabelecimentos_nenhuma,numero_estabelecimentos_cooperativas,numero_estabelecimentos_cooperativas_credito,numero_estabelecimentos_cooperativa_energia_eletrica,numero_estabelecimentos_cooperativa_energia_outras,quantidade_tratores,quantidade_maquina_colheita,quantidade_maquinas_plantio,quantidade_tratores_estabelecimentos_menor_10,quantidade_tratores_estabelecimentos_maior_10,pessoal_ocupado_total,pessoal_ocupado_parentesco_produtor,pessoal_14_mais_sem_parentesco,pessoal_14_mais_com_parentesco_produtor,pessoal_14_mais_empregadas,pessoal_14_mais_ocupado,valor_producao_total,valor_producao_total_animal,valor_total_producao_animal_grande,valor_total_producao_animal_medio,valor_total_producao_aves,valor_total_producao_vegetal,valor_total_producao_hortifruti,valor_total_producao_silvicultura,valor_total_producao_vegicultura,valor_total_producao_lavoura_temporaria,valor_total_producao_lavoura_permanente,producao_total_arroz,producao_total_feijao,producao_total_milho,producao_total_mandioca,producao_total_soja,producao_total_algodao,producao_total_cana,producao_total_trigo,area_arroz,area_feijao,area_milho,area_mandioca,area_soja,area_algodao,area_cana,area_trigo,numero_estabelecimentos_arroz,numero_estabelecimentos_feijao,numero_estabelecimentos_milho,numero_estabelecimentos_mandioca,numero_estabelecimentos_soja,numero_estabelecimentos_algodao,numero_estabelecimentos_cana,numero_estabelecimentos_trigo,valor_total_arroz,valor_total_feijao,valor_total_milho,valor_total_mandioca,valor_total_soja,valor_total_algodao,valor_total_cana,valor_total_trigo,valor_total,valor_total_terras,valor_total_cultura_permanente,valor_total_matas_plantadas,valor_total_predios_benfeitorias,valor_total_animais,valor_total_animais_transporte,valor_total_maquinas_transporte,proporcao_despesa_fertilizante,proporcao_despesa_defensivos,proporcao_despesa_sementes,proporcao_despesa_salarios
2017,AM,1303403,126998,107685,5649,2185,4015,2104,4492,55255,5626,60881,40868,0,8078,40868,10577,72,0,0,1,0,62231,1912,17569,301,46,203,5055,172,,757,8260,2742,2147,42,75,176,302,2136,21,0,3,9474,1948,11422,7757,1818,9575,59192,36702,31558,494,2727,22489,1542,0,5410,12048,3489,0,10,106,12936,0,0,27,0,0,19,74,1915,0,0,9,0,1,61,206,1674,0,0,37,0,0,29,145,10136,0,0,40,0,,,,,,,,,,,,,,,,,,,,,,,
1985,AM,1303502,170383,12322,300,2962,154799,675,2792,1117,470,1587,"164300,5",3,"164303,5","1025,5",0,,4,4,,2111,492,637,892,23,67,1,,,,,,0,0,0,"10,93",1277,125,1,9,1142,0,1276,1,0,0,0,6,0,0,0,6,7512,125,7637,3928,121,4049,,,,,,,,,,,,"30,61","29,37","41,25","2246,19",0,0,"0,85",0,78,86,193,781,0,0,0,0,46,43,80,342,0,0,4,0,,,,,,,,,,,,,,,,,,0,,,
1996,AM,1303502,,,0,10,,,,,,,,0,,,2,2,"3,3",52,,5489,11,,0,,0,,,0,"2,25",39879,2155,130,0,2,2023,0,2,2,0,9772,6182,,,,,,,,0,,,,266,249,423,3716,3,0,425,0,"153,15",,"624,887","647,4","4,5",0,"45,773",0,135,478,649,648,5,0,75,0,,,,,,0,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2006,AM,1303502,"32455,28","22006,25",,,,,,,,,,0,,,0,0,0,1,0,8584,1467,2359,1460,31,167,387,,0,,,,0,0,,"91,003",1876,958,50,45,504,0,1803,0,0,0,0,0,0,0,7342,1175,8517,6247,970,7217,,,,,,,,,,,,"13,02",,"234,949",,0,0,"3,448",0,24,750,273,6220,0,0,4,0,19,393,423,1271,0,0,13,0,,,,,0,0,,0,,,,,,,,,0,0,,,,,
2017,AM,1303502,29456,29398,0,0,58,782,6179,461,8528,8989,12999,0,203,12999,183,0,0,0,0,0,9491,236,1906,0,11,0,103,0,,,13,1410,1322,0,0,9,79,1046,0,0,0,5047,234,5281,4098,52,4150,18165,3573,2928,51,281,14592,147,0,2268,11028,1149,0,73,171,6906,0,0,1,0,0,98,68,669,0,0,0,0,0,400,344,1139,0,0,3,0,0,174,328,8779,0,0,2,0,,,,,,,,,0,0,,,,,,,,,,,,,
1985,AM,1303536,"41776,75","35554,75",0,750,5472,,,3,"2909,5","2912,5",,17,,,4,182,1,90,,4673,453,3072,1056,27,65,11,,,,0,,,0,16,"61,21",322,271,0,2,49,0,322,0,0,0,0,8,0,1,1,7,963,332,1295,665,321,986,,,,,,,,,,,,"11,37","1,83","11,31","2093,42",0,0,1824,0,10,3,5,208,0,0,30,0,9,8,9,119,0,0,14,0,,,,,,,,,,,,,,,,,,,,,
1996,AM,1303536,,,140,1200,0,,,,0,,42378,0,42378,,2,0,"0,1",1,,5257,83,,,,,,,0,"7,1",203935,143,141,1,1,0,0,21,1,1,764,716,,,,,,,,0,,,,3,0,4,437,0,0,53,0,2,"0,5","2,6","78,85",0,0,3,0,2,1,3,52,0,0,2,0,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,AM,1303536,"63898,13",,0,0,,,,,,,,0,,,59,0,0,0,0,11037,1301,3797,2613,121,352,609,,,,0,,,0,126,"165,354",986,612,1,0,373,0,964,0,0,0,0,33,0,0,2603,261,2864,2232,227,2459,,,,,,,,0,,,,"7,64",0,"20,58",,0,0,,0,2,0,3,1435,0,0,48,0,6,0,3,309,0,0,19,0,,0,,,0,0,,0,,,,,,,,,,,,,,,
2017,AM,1303536,196920,176884,82,1129,18364,4830,5636,940,11071,12011,164227,2,529,164229,9686,1117,0,0,1,0,9300,1489,74801,8778,2506,587,23138,2923,,611,2232,1769,1405,3,27,311,23,1062,227,0,0,4963,2729,7692,4432,2652,7084,93567,20742,9494,840,10240,72825,15440,0,914,34125,22077,3,6,202,6603,0,0,261605,0,3,9,66,939,0,0,3522,0,4,22,32,712,0,0,43,0,2,15,234,5983,0,0,26457,0,,,,,,,,,,,,,,,,,,,,,,,
1985,AM,1303569,,,2050,0,"50653,5",,2930,"470,5",,,,555,,,22,469,23,42,,10869,2144,3948,4533,9,235,27,,,,,,,0,74,"155,24",397,258,2,0,137,0,373,9,2,2,12,60,0,24,4,56,1013,1191,2204,815,1182,1997,,,,,,,,,,,,"5,15","13,58","12,78",,0,0,627,0,7,21,8,433,0,0,44,0,3,9,7,217,0,0,6,0,,,,,,,,,,,,0,,,,,,,,,
1996,AM,1303569,"140102,89",,8,68,"485,5",,,6142,0,6142,,"38,5",,,124,2,"5,785",57,,4707,260,,,,,,,,"44,6",251575,660,648,1,3,8,0,105,0,4,2944,2422,,,,,,,,0,,,,0,3,7,3457,0,0,22,0,"0,02",,"2,317","472,99",0,0,592,0,2,16,9,320,0,0,20,0,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,AM,1303569,"97435,61",,0,0,,,,,,,,0,,,516,,1,8,,4436,381,1875,919,137,76,1152,,,,0,,,0,,"231,736",1774,1264,1,0,508,0,1730,0,0,0,0,112,0,0,6238,952,7190,4535,770,5305,,,,,,,,,,,,0,,0,,0,0,"25,28",0,0,0,0,1461,0,0,4,0,0,5,0,400,0,0,9,0,0,,0,,0,0,,0,,,,,,,,,,,,,,,
2017,AM,1303569,73712,42482,0,0,30040,3790,1234,694,2474,3168,60712,0,146,60712,2664,699,0,0,1,0,1834,918,41306,4117,922,1486,8645,445,,547,151,1004,583,2,4,409,6,542,200,0,0,2342,943,3285,2249,872,3121,69985,20033,1486,721,17795,49953,2937,0,900,5734,38278,0,1,1,2929,0,0,160,0,0,2,2,386,0,0,7,0,3,7,4,331,0,0,16,0,7,4,3,2943,0,0,111,0,,,,,,,,,,,,,,,,,,,,,,,
1985,AM,1303601,,,0,8,,,,270,"61,5","331,5",184,1,185,360,1,0,0,0,,314,53,108,104,0,49,0,,,0,0,,,0,0,12,714,398,0,4,312,0,713,0,0,0,1,3,0,0,1,2,2627,42,2669,2161,36,2197,,,,,,,,0,,,,"28,26","7,33","9,4","3255,94",0,0,0,0,18,6,3,1540,0,0,0,0,7,5,3,701,0,0,0,0,,,,,,,,,,,,0,,,,,,,0,,
1996,AM,1303601,,,0,0,,,,146,0,146,,0,,,0,0,0,0,0,227,1,,0,0,0,,0,,0,3110,1159,1113,0,0,46,0,0,0,0,4199,3305,,,,,,,0,0,,,,0,0,0,4741,0,0,35,0,0,0,0,"606,125",0,0,"1,3",0,0,0,0,1044,0,0,3,0,0,0,0,,0,0,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,
2006,AM,1303601,"40607,48",,,,"21805,75",,,,28,,,0,,,1,0,0,0,0,149,20,57,51,0,11,46,,0,0,0,,,0,0,0,311,32,47,5,24,0,308,0,0,0,0,0,0,0,1684,7,1691,1442,7,1449,,,0,0,,,0,0,,,,0,0,"2,3",,0,0,"2,7",0,0,0,1,2555,0,0,0,0,0,0,5,295,0,0,4,0,0,0,,,0,0,,0,,,,,,,,,0,,0,,,,
2017,AM,1303601,677,493,0,0,0,138,228,57,28,85,117,0,4,117,106,9,0,0,0,0,117,43,2156,18,16,0,125,0,,0,0,1149,733,0,0,344,72,1145,0,0,0,3931,31,3962,3101,9,3110,8701,118,0,15,27,8583,151,0,2991,4157,1285,0,0,4,2067,0,0,14,0,0,0,0,92,0,0,1,0,0,0,14,1029,0,2,43,0,0,0,9,3953,0,0,27,0,,,,,,,,,,0,,,,,,,,,,,,,
1985,AM,1303700,,,0,"2,5",,,"2180,5",,"868,5",,,"22,5",,,4,,32,138,,1585,194,824,495,11,61,0,,0,,0,,,0,0,0,1722,75,0,1,1646,0,1721,0,0,0,1,0,0,0,0,0,8222,192,8414,5958,191,6149,,,,,,,,,,,,"79,1","14,35","192,134",,0,0,"143,74",0,28,27,155,1198,0,0,8,0,23,51,204,1601,0,0,10,0,,,,,,,,,,,,0,,,,,0,,,,
1996,AM,1303700,,,0,0,,,,,0,,,0,,,0,1,"23,49",43,,811,5,,0,,0,,0,0,0,0,1524,1517,0,0,7,0,0,0,0,6783,5498,,,,,,,,0,,,,0,1,121,3459,0,0,5,0,0,,"71,541","636,42",0,0,"0,32",0,0,4,88,1169,0,0,17,0,0,,,,0,0,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
