ano,sigla_uf,id_municipio,area_total,area_proprietario,area_arrendatario,area_parceiro,area_ocupante,area_lavoura_permanente,area_lavoura_temporaria,area_pastagem_natural,area_pastagem_plantada,area_pastagem,area_mata_natural,area_mata_plantada,area_sistema_agroflorestal,area_mata,area_nao_utilizada,quantidade_estabelecimentos,producao_cafe,area_cafe,quantidade_estabelecimentos_cafe,valor_total_producao_cafe,quantidade_bovinos_total,quantidade_bezerros,quantidade_bovinos_garrote,quantidade_bovinos_vaca,quantidade_bovinos_trabalho,quantidade_bovinos_touro,quantidade_estabelecimentos_energia_eletrica,despesa_total,despesa_adubos,despesa_sementes,despesa_arrendamentos,despesa_salarios,despesa_defensivos,despesa_cotas,areas_irrigacao,producao_leite,numero_estabelecimentos_total,numero_estabelecimentos_proprietario,numero_estabelecimentos_arrendatario,numero_estabelecimentos_parceiros,numero_estabelecimentos_ocupantes,numero_estabelecimentos_outros,numero_estabelecimentos_nenhuma,numero_estabelecimentos_cooperativas,numero_estabelecimentos_cooperativas_credito,numero_estabelecimentos_cooperativa_energia_eletrica,numero_estabelecimentos_cooperativa_energia_outras,quantidade_tratores,quantidade_maquina_colheita,quantidade_maquinas_plantio,quantidade_tratores_estabelecimentos_menor_10,quantidade_tratores_estabelecimentos_maior_10,pessoal_ocupado_total,pessoal_ocupado_parentesco_produtor,pessoal_14_mais_sem_parentesco,pessoal_14_mais_com_parentesco_produtor,pessoal_14_mais_empregadas,pessoal_14_mais_ocupado,valor_producao_total,valor_producao_total_animal,valor_total_producao_animal_grande,valor_total_producao_animal_medio,valor_total_producao_aves,valor_total_producao_vegetal,valor_total_producao_hortifruti,valor_total_producao_silvicultura,valor_total_producao_vegicultura,valor_total_producao_lavoura_temporaria,valor_total_producao_lavoura_permanente,producao_total_arroz,producao_total_feijao,producao_total_milho,producao_total_mandioca,producao_total_soja,producao_total_algodao,producao_total_cana,producao_total_trigo,area_arroz,area_feijao,area_milho,area_mandioca,area_soja,area_algodao,area_cana,area_trigo,numero_estabelecimentos_arroz,numero_estabelecimentos_feijao,numero_estabelecimentos_milho,numero_estabelecimentos_mandioca,numero_estabelecimentos_soja,numero_estabelecimentos_algodao,numero_estabelecimentos_cana,numero_estabelecimentos_trigo,valor_total_arroz,valor_total_feijao,valor_total_milho,valor_total_mandioca,valor_total_soja,valor_total_algodao,valor_total_cana,valor_total_trigo,valor_total,valor_total_terras,valor_total_cultura_permanente,valor_total_matas_plantadas,valor_total_predios_benfeitorias,valor_total_animais,valor_total_animais_transporte,valor_total_maquinas_transporte,proporcao_despesa_fertilizante,proporcao_despesa_defensivos,proporcao_despesa_sementes,proporcao_despesa_salarios
1985,AM,1303957,30293,"29491,5",0,"1,5",800,,"1907,5",4426,"774,5","5200,5","19573,5",18,"19591,5",,1,,10,41,,3825,827,1195,1615,43,145,3,,,,0,,,0,0,"104,316",752,748,0,0,4,0,751,0,0,0,1,1,0,3,0,1,3319,433,3752,2396,428,2824,,,,,,,0,,,,,"8,61","33,6","132,27","7723,05",0,0,"2,25",0,10,18,70,819,0,0,0,0,8,17,47,396,0,0,9,0,,,,,,,,,,,,,,,,,,,,,
1996,AM,1303957,,,0,0,90,,,99,,,,7,,,0,5,2,3,,1608,6,,0,,0,,,,0,3144,249,246,0,0,3,0,0,0,0,1021,880,,,,,,,,0,,,,1,3,5,4649,0,0,0,0,4,"9,75",5,"423,119",0,0,0,0,2,7,4,213,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2006,AM,1303957,"20465,96",,0,0,206,,,107,"2401,5","2508,5",,0,,0,0,,0,6,,5013,629,1895,1346,161,77,27,,,,0,,,0,,0,262,256,0,0,6,0,258,0,0,0,0,0,0,0,1006,108,1114,849,97,946,,,,,,,,,,,,"4,06",,"2,91",,0,0,"5,08",0,6,1,1,249,0,0,3,0,6,3,5,104,0,0,12,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,AM,1303957,29624,29554,0,0,0,267,541,721,5833,6554,21241,0,0,21241,809,37,0,0,1,0,11791,68,2741,42,25,0,525,10,,26,83,408,405,1,2,0,0,321,7,0,0,1614,829,2443,1521,791,2312,11572,5546,5219,168,125,6026,0,0,421,4388,1020,0,0,9,2395,0,0,4,0,0,0,2,338,0,0,1,0,1,4,7,283,0,0,3,0,0,0,14,3951,0,0,7,0,,,,,,,,,,,,,,,,,,,,,,,
1985,AM,1304005,,,"31,5",0,,,,,,,,3,,,0,,14,78,,7666,1674,2810,2993,1,188,18,,,,,,,0,0,"41,218",812,731,2,0,79,0,808,0,0,0,4,17,0,1,1,16,3689,387,4076,2480,377,2857,,,,,,,,0,,,,"4,5","22,49","55,071","4254,17",0,0,0,0,2,23,42,470,0,0,0,0,5,31,79,397,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,
1996,AM,1304005,47595,47054,0,300,241,"1022,5",1643,8862,"2433,5","11295,5","22841,5",0,"22841,5","10792,5",0,3,"12,5",36,,16988,6,,,,0,,,0,0,167350,1082,1037,0,10,35,0,2,0,0,3081,2832,,,,,,,,0,,,,0,24,38,17865,0,0,0,0,0,,"38,5",,0,0,0,0,0,29,48,823,0,0,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,AM,1304005,"28898,26",,0,0,,,,1660,"5216,25","6876,25",,0,,,8,0,0,1,0,14415,2285,4613,3514,7,305,42,,,,,,,0,,"209,472",430,425,0,1,7,0,426,0,0,0,0,6,0,0,2746,555,3301,2604,551,3155,,,,,,,,0,,,,0,0,0,,0,0,0,0,0,0,0,325,0,0,0,0,0,0,1,55,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,
2017,AM,1304005,22478,22128,0,0,0,530,522,4281,1964,6245,13938,0,988,13938,255,45,0,0,2,0,8111,447,2607,57,5,31,562,4,,28,504,502,492,0,1,1,8,330,8,0,0,1795,240,2035,1553,119,1672,8467,4175,2651,86,1315,4292,264,0,423,3005,599,0,0,4,1562,0,0,8,0,0,0,3,401,0,0,1,0,0,2,6,313,0,0,3,0,0,0,8,2754,0,0,9,0,,,,,,,,,,,,,,,,,,,,,,,
1985,AM,1304062,,,0,0,,,,,,,,,,,0,0,0,0,,402,74,197,108,0,23,0,,0,0,,,,,0,"5,8",997,93,0,0,904,0,997,0,0,0,0,0,0,0,0,0,6480,26,6506,3160,23,3183,,,,,,,,0,,,,"42,4","23,99","83,89","7513,51",0,0,0,0,34,24,111,847,0,0,0,0,65,47,242,985,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,,
1996,AM,1304062,,,0,0,,,,,0,,,0,,,0,0,0,0,0,2054,2,,0,,0,,0,0,0,17415,859,28,0,0,831,0,0,0,0,2876,2487,,,,,,,,0,,,,0,6,13,3221,0,0,2,0,0,,"6,323","349,298",0,0,"0,1",0,0,16,49,644,0,0,1,0,0,,,,0,0,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
2006,AM,1304062,"32035,9",,0,,,,,,0,,,0,,,1,0,0,0,0,289,9,41,21,16,33,787,,0,0,0,,0,0,0,0,1777,1702,0,8,50,0,1773,0,0,0,0,0,0,0,8854,27,8881,5768,27,5795,,,,,,,,0,,,,0,0,"15,565",,0,0,"4,845",0,0,0,1,2166,0,0,2,0,0,3,11,1315,0,0,12,0,0,0,,,0,0,,0,,,,,,,,,0,0,0,,,,
2017,AM,1304062,3354,2867,0,0,482,719,800,145,210,355,1224,1,9,1225,246,57,0,0,0,0,385,1311,6412,70,19,0,939,3,,21,27,1889,1511,0,1,330,47,1518,9,0,0,8470,309,8779,7161,261,7422,14425,4522,1978,118,1578,9903,221,0,1231,6977,1461,0,7,37,4088,0,0,81,0,0,9,13,427,0,0,5,0,2,13,225,1766,0,0,340,0,0,30,66,5424,0,0,152,0,,,,,,,,,,,,,,,,,,,,,,,
1985,AM,1304104,,55212,,3433,,,,771,"669,5","1440,5",,10,,,1,,3,30,,437,43,153,217,0,24,0,,,,,,,,0,"1,83",3266,393,290,40,2543,0,3265,1,0,0,0,0,0,0,0,0,20059,146,20205,11069,136,11205,,,,,,,,,,,,"35,48","302,035","629,044",,0,0,"28,807",0,45,195,287,1689,0,0,5,0,41,432,434,2109,0,0,14,0,,,,,,,,,,,,0,,,,,,,,,
1996,AM,1304104,,,,3,,,,,,,,0,,,0,1,"2,815",7,,1304,65,,0,,,,0,0,0,0,1012,436,8,1,567,0,0,0,0,4546,2832,,,,,,,0,0,,,,3,272,102,5559,0,0,5,0,"2,2",,"60,65","638,306",0,0,136,0,3,103,135,677,0,0,9,0,,,,,0,0,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
2006,AM,1304104,"13180,91",,,,,,,,397,,,0,,0,2,0,0,2,0,3475,755,1247,895,65,157,63,,,0,0,,,0,0,0,194,102,24,4,5,0,173,0,0,0,0,0,0,0,733,10,743,597,10,607,,,,,,,0,0,,,,0,,"47,65",,0,0,"7,75",0,0,3,15,1890,0,0,0,0,1,20,26,155,0,0,4,0,0,,,,0,0,,0,,,,0,,,,,,,0,,,,
2017,AM,1304104,29850,29741,0,0,0,534,705,226,2279,2505,25711,0,0,25711,393,8,0,0,0,0,2392,70,2008,15,40,0,161,4,,0,64,1089,858,0,0,17,214,1031,12,0,0,3920,127,4047,3133,85,3218,23601,4181,3080,45,81,19420,162,0,5937,12429,893,0,6,112,6625,0,0,75,0,0,5,47,549,0,0,21,0,2,88,214,881,0,0,126,0,0,24,177,11213,0,0,85,0,,,,,,,,,,,,,,,,,,,,,,,
1985,AM,1304203,,,0,3,,,,"690,5",,,460279,35,460314,,1,,0,22,,1798,374,725,610,10,79,2,,,,0,,,0,1,"21,87",1622,312,0,1,1309,0,1622,0,0,0,0,7,0,0,0,7,6984,710,7694,4345,704,5049,,,,,,,,,,,,0,"27,861","57,42",,0,0,"33,5",0,0,32,61,2967,0,0,2,0,0,44,82,1504,0,0,3,0,,,,,,,,,,,,,,,,,,,,,
1996,AM,1304203,,,"9,5",0,,,,,0,,,0,,,0,0,0,0,0,1390,10,,,,,,,0,0,16200,2255,2027,3,0,225,0,15,2,12,8698,6842,,,,,,,,0,,,,0,2,13,63958,0,0,4,0,0,,"6,637",,0,0,"3,5",0,0,2,15,2238,0,0,10,0,0,,,,0,0,,0,,,,,,,,,,,"838,281",,,,,,,,,,,,,,,,,,
2006,AM,1304203,"39542,45",,,,,,,,,,,0,,,3,0,0,0,0,1116,92,330,159,34,49,489,,,,0,,,0,,0,1153,418,25,29,511,0,1139,0,0,0,0,0,0,0,4635,358,4993,3946,332,4278,,,,,,,,,,,,0,,"116,064",,0,0,"790,745",0,0,6,71,1977,0,0,33,0,0,17,49,852,0,0,37,0,0,,,,0,0,,0,,,,,,,,,,,,,,,
2017,AM,1304203,21291,16991,0,309,3959,1118,2956,0,852,852,15525,0,0,15525,824,83,0,0,0,0,1155,1432,9808,143,54,0,2199,22,,2,35,1826,1369,4,23,330,100,1437,5,0,0,5749,6000,11749,5078,5957,11035,55569,1743,318,151,750,53826,2324,0,10772,36798,3930,0,1,17,20788,0,0,34,0,0,4,8,1987,0,0,3,0,0,9,26,1644,0,0,19,0,0,4,24,33930,0,0,42,0,,,,,,,,,,,,,,,,,,,,,,,
1985,AM,1304237,,"4590,5",0,17,,,,,,1876,,"31,5",,,1,588,1,101,,2689,491,1070,973,2,153,2,,,,,,,,0,"0,61",1124,102,0,1,1021,0,1124,0,0,0,0,0,0,0,0,0,6459,38,6497,3559,38,3597,,,,,,,,,,,,"7,51","145,576","169,891","7728,57",0,0,"19,305",0,5,205,253,886,0,0,1,0,8,327,372,1007,0,0,30,0,,,,,,,,,,,,,,,,,,,,,
1996,AM,1304237,,,0,0,,,,729,152,881,,0,,,0,0,0,0,0,1583,1,,0,,0,,0,0,0,3839,1645,798,0,0,847,0,0,0,0,5863,4849,,,,,,,,,,,,0,20,174,4798,0,0,24,0,0,,"82,485","521,624",0,0,722,0,0,29,229,1302,0,0,10,0,0,,,,0,0,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
2006,AM,1304237,"4231,15",,,0,,,,,,,,0,,,1,0,0,0,0,1653,133,628,325,32,85,251,,0,0,0,,0,0,0,"108,496",1160,995,6,2,162,0,1158,0,0,0,0,0,0,0,5701,17,5718,4708,17,4725,,,,,,,,0,,,,0,,"20,167",,0,0,"43,5",0,0,11,8,981,0,0,4,0,0,15,27,1056,0,0,3,0,0,,,,0,0,,0,,,,0,,,,,0,0,0,,,,
2017,AM,1304237,3294,3275,0,0,19,330,260,1192,301,1493,859,0,0,859,237,2,0,0,0,0,938,41,1008,1,5,10,223,1,,0,83,367,241,1,3,76,46,255,0,0,0,1145,216,1361,1065,206,1271,4470,1462,1084,86,100,3008,46,0,594,1937,431,0,0,3,1115,0,0,8,0,0,0,1,142,0,0,0,0,0,1,14,270,0,0,7,0,0,0,4,1703,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,
1985,AM,1304260,,,0,15,33537,,"5629,5",,"118,5",,,20,,3475,0,0,0,0,,175,20,99,37,1,18,0,,0,0,0,,,0,0,0,940,86,0,1,853,0,940,0,0,0,0,0,0,0,0,0,3640,1,3641,2407,1,2408,,,,,,,,0,,,,0,0,0,,0,0,0,0,0,0,0,994,0,0,0,0,0,0,0,877,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,,
1996,AM,1304260,,,0,0,,,,244,0,244,,0,,,1,0,0,0,0,370,0,,0,,0,,,0,0,9975,1203,214,0,0,989,0,0,0,0,4638,3787,,,,,,,,0,,,,1,5,1,28058,0,0,0,0,"0,5",,754,,0,0,0,0,1,6,5,1088,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2006,AM,1304260,"20059,87",,0,,,,,,,,,0,,,0,0,0,0,0,899,90,125,20,7,8,375,,0,0,0,,0,0,0,0,567,222,1,6,273,0,554,0,0,0,0,0,0,0,1958,361,2319,1856,347,2203,,,,,,,,,,,,0,0,"7,08",,0,0,0,0,0,0,4,125,0,0,0,0,0,0,12,33,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,,
2017,AM,1304260,22301,18881,0,0,1220,509,6825,122,118,240,14367,0,0,14367,347,9,0,0,0,0,416,357,2721,17,3,8,729,4,,0,0,803,529,8,2,169,95,560,0,0,0,2670,1840,4510,2468,1544,4012,29893,670,208,53,162,29223,37,97,494,27755,840,0,0,1,14036,0,0,10,0,0,0,1,1311,0,0,4,0,0,2,3,761,0,0,13,0,0,0,1,27346,0,0,14,0,,,,,,,,,,,,,,,,,,,,,,,
1985,AM,1304302,,,"4,5",0,2371,,,10407,1045,11452,27285,"55,5","27340,5",,2,,10,61,,7430,1420,3204,2390,142,274,42,,,,,,,,2,"258,524",976,953,0,0,23,0,971,3,3,0,0,4,2,10,0,4,4944,386,5330,2965,372,3337,,,,,,,,,,,,"17,327","8,44","63,565",,0,0,"1,26",0,22,8,31,776,0,0,0,0,42,8,27,584,0,0,5,0,,,,,,,,,,,,,,,,,,,,,
1996,AM,1304302,,,3,20,142,,,"7392,5","1697,5",9090,,20,,,0,3,254,2,,30801,383,,,,,,,,0,415060,1301,1297,1,1,2,0,1,0,0,5783,4438,,,,,,,,0,,,,93,34,174,10859,0,0,26,0,"54,036",,"173,395",,0,0,"1,407",0,9,109,139,748,0,0,14,0,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,AM,1304302,"19856,87",,0,0,"76,5",,,,5166,,,0,,,3,0,0,0,0,13913,3128,4561,3355,169,265,55,,,,0,,,0,,"101,861",243,236,0,0,5,0,223,0,0,0,0,3,0,0,855,236,1091,815,236,1051,,,,,,,,,,,,0,0,"22,7",,0,0,0,0,0,0,3,141,0,0,0,0,0,4,11,56,0,0,1,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,
2017,AM,1304302,56099,51009,85,4708,234,745,897,10592,10813,21405,24530,0,7415,24530,1107,67,0,0,1,0,15652,385,6651,70,43,135,2153,2,,207,245,609,568,3,12,20,6,306,0,0,0,2062,674,2736,1930,615,2545,15607,6157,5146,67,601,9451,391,0,1106,6684,1270,0,4,18,3341,0,0,96,0,0,13,18,477,0,0,7,0,1,42,35,362,0,0,33,0,0,13,31,6017,0,0,115,0,,,,,,,,,,,,,,,,,,,,,,,
1985,AM,1304401,,,"143,5","24,5",,,4016,,"3392,5",,,"30,5",,,1,291,2,20,,15767,2996,7049,5274,1,447,1,,,,,,,,0,"122,284",1383,1282,19,3,79,0,1380,3,0,0,0,0,0,0,0,0,5874,372,6246,4313,345,4658,,,,,,,,,,,,0,"29,605","153,974","7413,35",0,0,"3,63",0,0,44,166,671,0,0,1,0,0,130,408,804,0,0,6,0,,,,,,,,,,,,0,,,,,,,,,
1996,AM,1304401,,,3,0,97,,,,,,,127,,,1,1,1,1,,24092,5,,,,0,,,0,0,12980,1516,1502,1,0,13,0,0,0,0,7750,5475,,,,,,,,0,,,,0,68,172,4407,1,0,3,0,0,,"184,594","921,884",2,0,"2,5",0,0,57,180,501,2,0,3,0,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,AM,1304401,"26804,3",,,,,,,,,,,,,,0,0,0,1,0,15217,1854,3538,2628,294,1196,99,,0,0,0,,,0,20,"40,126",431,378,6,7,58,0,424,0,0,0,0,0,0,0,1853,192,2045,1675,178,1853,,,,,,,,,,,,0,0,"4,76",,0,0,0,0,0,0,0,92,0,0,0,0,0,0,7,19,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,0,,0,,,,
2017,AM,1304401,39725,38578,0,826,160,711,509,10082,9570,19652,6780,0,8736,6780,3334,16,0,0,1,0,13648,400,3183,19,15,36,854,11,,12,771,531,498,2,7,12,12,246,5,0,0,2030,1266,3296,1753,836,2589,9969,6416,5673,90,422,3553,230,0,165,2163,995,0,1,8,988,0,0,22,0,0,1,7,174,0,0,0,0,0,7,23,302,0,0,8,0,0,2,12,1740,0,0,14,0,,,,,,,,,,,,,,,,,,,,,,,
1996,RR,1400027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RR,1400027,"271621,94",,0,,,,,,,,,0,,,2,0,0,0,0,86664,19176,22356,38836,687,1861,82,,,,0,,,0,0,"264,695",374,209,1,44,5,0,369,0,0,0,0,23,0,0,927,35,962,839,35,874,,,,,,,,0,,,,"2011,82",0,"64,2",,0,0,0,0,275,0,48,163,0,0,0,0,5,1,9,10,0,0,0,0,,0,,,0,0,0,0,,,,0,,,,,,,,,,,
2017,RR,1400027,384045,379143,0,0,1657,3586,3143,218311,32010,250321,54137,0,59477,54137,13381,34,0,0,2,0,97741,537,25582,192,56,140,5523,57,,1664,1350,1412,1124,2,1,281,4,1305,93,5,12,5714,1031,6745,3840,910,4750,79987,59476,18200,476,40800,20511,626,0,2751,16808,315,2464,15,194,2338,0,0,95,0,554,11,65,169,0,0,12,0,46,76,693,879,0,0,141,0,2141,33,294,4650,0,0,143,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RR,1400050,,,100,0,"6371,5",,,131179,"11367,5","142546,5","71432,5","162,5",71595,"9910,25",1,525,2,23,,32134,6735,12969,11621,94,715,18,,,,,,,0,0,"779,593",671,529,1,0,141,0,664,5,0,0,2,18,2,11,1,17,1663,173,1836,1461,171,1632,,,,,,,,0,,,,"1215,26","5,87","1469,4",,0,0,0,0,847,14,1075,304,0,0,0,0,452,13,545,237,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1996,RR,1400050,,,831,72296,,,,150719,"34434,25","185153,25",,2,,,15,14,"8,311",210,,60489,126,,,,,,,,"174,1",1245211,829,772,3,11,43,0,43,5,6,5675,3699,,,,,,,,0,,,,2625,82,2486,3479,139,13,200,0,,,,"717,685","118,085","9,163","11,246",0,482,206,537,259,5,7,34,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RR,1400050,"215212,65",,109,,,,,"56167,5",,,,,,,13,0,0,2,0,80534,15968,32079,21327,266,3053,387,,,,,,,0,,,956,791,3,15,28,0,926,0,0,0,0,65,0,0,3653,166,3819,3047,163,3210,,,,,,,,0,,,,"192,466",,,,5200,0,"60,46",0,126,6,325,529,1780,0,3,0,85,12,127,84,4,0,6,0,,,,,,0,,0,,,,,,,,,,,,,,,
